2502 Greenbutton Data,,,,,,
Name,VIASAT INC,,,,,
Address,2502 GATEWAY RD  Carlsbad CA 92009,,,,,
Account Number,,,,,,
Disclaimer,,,,,,
Title,CSV Export Electric Meter(s),,,,,
Resource,Electric,,,,,
Meter Number,6700126,,,,,
Interval UOM,Minute(s),,,,,
Reading Start,,,,,,
Reading End,,,,,,
Total Duration,,,,,,
Total Usage,,,,,,
UOM,kWh,,,,,
Meter Number,Date,Start Time,Duration,Consumption,Generation,Net
6700126,6/20/2021,12:00 AM,15,90.3,0,90.3
6700126,6/20/2021,12:15 AM,15,88.8,0,88.8
6700126,6/20/2021,12:30 AM,15,89.4,0,89.4
6700126,6/20/2021,12:45 AM,15,88.2,0,88.2
6700126,6/20/2021,1:00 AM,15,88.8,0,88.8
6700126,6/20/2021,1:15 AM,15,88.2,0,88.2
6700126,6/20/2021,1:30 AM,15,87.9,0,87.9
6700126,6/20/2021,1:45 AM,15,88.5,0,88.5
6700126,6/20/2021,2:00 AM,15,89.1,0,89.1
6700126,6/20/2021,2:15 AM,15,90.3,0,90.3
6700126,6/20/2021,2:30 AM,15,88.8,0,88.8
6700126,6/20/2021,2:45 AM,15,89.4,0,89.4
6700126,6/20/2021,3:00 AM,15,87.9,0,87.9
6700126,6/20/2021,3:15 AM,15,87.3,0,87.3
6700126,6/20/2021,3:30 AM,15,89.1,0,89.1
6700126,6/20/2021,3:45 AM,15,88.5,0,88.5
6700126,6/20/2021,4:00 AM,15,88.2,0,88.2
6700126,6/20/2021,4:15 AM,15,87.9,0,87.9
6700126,6/20/2021,4:30 AM,15,88.8,0,88.8
6700126,6/20/2021,4:45 AM,15,89.4,0,89.4
6700126,6/20/2021,5:00 AM,15,89.1,0,89.1
6700126,6/20/2021,5:15 AM,15,88.5,0,88.5
6700126,6/20/2021,5:30 AM,15,87.3,0,87.3
6700126,6/20/2021,5:45 AM,15,87.3,0,87.3
6700126,6/20/2021,6:00 AM,15,87,0,87
6700126,6/20/2021,6:15 AM,15,87,0,87
6700126,6/20/2021,6:30 AM,15,87.9,0,87.9
6700126,6/20/2021,6:45 AM,15,88.2,0,88.2
6700126,6/20/2021,7:00 AM,15,88.8,0,88.8
6700126,6/20/2021,7:15 AM,15,89.1,0,89.1
6700126,6/20/2021,7:30 AM,15,89.7,0,89.7
6700126,6/20/2021,7:45 AM,15,89.7,0,89.7
6700126,6/20/2021,8:00 AM,15,90,0,90
6700126,6/20/2021,8:15 AM,15,89.7,0,89.7
6700126,6/20/2021,8:30 AM,15,90.9,0,90.9
6700126,6/20/2021,8:45 AM,15,91.2,0,91.2
6700126,6/20/2021,9:00 AM,15,90,0,90
6700126,6/20/2021,9:15 AM,15,90.6,0,90.6
