Ownership,Fuel Type,Mileage,Age,Count,Number of Records
Household,FCEV,"<5,000",0-1 years old,2,1
Household,FCEV,"10,000-14,999",0-1 years old,39,1
Household,FCEV,"15,000-19,999",0-1 years old,11,1
Household,FCEV,"20,000-24,999",0-1 years old,3,1
Household,FCEV,"25,000+",0-1 years old,2,1
Household,FCEV,"5,000-9,999",0-1 years old,19,1
Household,FCEV,"<5,000",2-5 years old,7,1
Household,FCEV,"10,000-14,999",2-5 years old,97,1
Household,FCEV,"15,000-19,999",2-5 years old,34,1
Household,FCEV,"20,000-24,999",2-5 years old,15,1
Household,FCEV,"25,000+",2-5 years old,6,1
Household,FCEV,"5,000-9,999",2-5 years old,71,1
Household,ICE,"<5,000",0-1 years old,145,1
Household,ICE,"10,000-14,999",0-1 years old,207,1
Household,ICE,"15,000-19,999",0-1 years old,62,1
Household,ICE,"20,000-24,999",0-1 years old,31,1
Household,ICE,"25,000+",0-1 years old,29,1
Household,ICE,"5,000-9,999",0-1 years old,231,1
Household,ICE,"<5,000",2-5 years old,305,1
Household,ICE,"10,000-14,999",2-5 years old,611,1
Household,ICE,"15,000-19,999",2-5 years old,170,1
Household,ICE,"20,000-24,999",2-5 years old,106,1
Household,ICE,"25,000+",2-5 years old,130,1
Household,ICE,"5,000-9,999",2-5 years old,584,1
Household,ICE,"<5,000",6-10 years old,282,1
Household,ICE,"10,000-14,999",6-10 years old,459,1
Household,ICE,"15,000-19,999",6-10 years old,147,1
Household,ICE,"20,000-24,999",6-10 years old,60,1
Household,ICE,"25,000+",6-10 years old,81,1
Household,ICE,"5,000-9,999",6-10 years old,492,1
Household,ICE,"<5,000",>10 years old,1264,1
Household,ICE,"10,000-14,999",>10 years old,564,1
Household,ICE,"15,000-19,999",>10 years old,118,1
Household,ICE,"20,000-24,999",>10 years old,94,1
Household,ICE,"25,000+",>10 years old,117,1
Household,ICE,"5,000-9,999",>10 years old,901,1
Household,PEV,"<5,000",0-1 years old,19,1
Household,PEV,"10,000-14,999",0-1 years old,93,1
Household,PEV,"15,000-19,999",0-1 years old,26,1
Household,PEV,"20,000-24,999",0-1 years old,10,1
Household,PEV,"25,000+",0-1 years old,5,1
Household,PEV,"5,000-9,999",0-1 years old,72,1
Household,PEV,"<5,000",2-5 years old,28,1
Household,PEV,"10,000-14,999",2-5 years old,96,1
Household,PEV,"15,000-19,999",2-5 years old,27,1
Household,PEV,"20,000-24,999",2-5 years old,6,1
Household,PEV,"25,000+",2-5 years old,11,1
Household,PEV,"5,000-9,999",2-5 years old,85,1
Household,PEV,"<5,000",6-10 years old,11,1
Household,PEV,"10,000-14,999",6-10 years old,25,1
Household,PEV,"15,000-19,999",6-10 years old,7,1
Household,PEV,"20,000-24,999",6-10 years old,5,1
Household,PEV,"25,000+",6-10 years old,4,1
Household,PEV,"5,000-9,999",6-10 years old,23,1
